country_a,country_b,relation_type,trade,sanctions_a_to_b,sanctions_b_to_a,war_aggressor,tariff_a_to_b,tariff_b_to_a,aggressor_commitment_ratio,defender_commitment_ratio,initial_occupation_progress,initial_aid_economy_a_to_b,initial_aid_military_a_to_b,initial_aid_economy_b_to_a,initial_aid_military_b_to_a
アメリカ,中国,neutral,false,false,false,,0.0,0.0,,,,,,,
アメリカ,ロシア,neutral,false,false,false,,0.0,0.0,,,,,,,
アメリカ,日本,neutral,false,false,false,,0.0,0.0,,,,,,,
アメリカ,インド,neutral,false,false,false,,0.0,0.0,,,,,,,
アメリカ,欧州連合,neutral,false,false,false,,0.0,0.0,,,,,,,
中国,ロシア,neutral,false,false,false,,0.0,0.0,,,,,,,
中国,日本,neutral,false,false,false,,0.0,0.0,,,,,,,
中国,インド,neutral,false,false,false,,0.0,0.0,,,,,,,
中国,欧州連合,neutral,false,false,false,,0.0,0.0,,,,,,,
ロシア,日本,neutral,false,false,false,,0.0,0.0,,,,,,,
ロシア,インド,neutral,false,false,false,,0.0,0.0,,,,,,,
ロシア,欧州連合,neutral,false,false,false,,0.0,0.0,,,,,,,
日本,インド,neutral,false,false,false,,0.0,0.0,,,,,,,
日本,欧州連合,neutral,false,false,false,,0.0,0.0,,,,,,,
インド,欧州連合,neutral,false,false,false,,0.0,0.0,,,,,,,
