country_a,country_b,relation_type,trade,sanctions_a_to_b,sanctions_b_to_a,war_aggressor,tariff_a_to_b,tariff_b_to_a,aggressor_commitment_ratio,defender_commitment_ratio,initial_occupation_progress,initial_aid_economy_a_to_b,initial_aid_military_a_to_b,initial_aid_economy_b_to_a,initial_aid_military_b_to_a
日本,アメリカ,alliance,true,false,false,,0.025,0.025,,,,,,,2.0
日本,中国,neutral,true,false,false,,0.07,0.05,,,,,,,
日本,台湾,neutral,true,false,false,,0.04,0.04,,,,,6.0,,
日本,フィリピン,neutral,true,false,false,,0.05,0.05,,,,,,,
アメリカ,中国,neutral,true,true,true,,0.45,0.15,,,,,,,
アメリカ,台湾,neutral,true,false,false,,0.03,0.03,,,,,3.0,,
アメリカ,フィリピン,alliance,true,false,false,,0.03,0.03,,,,,,,
中国,台湾,at_war,false,true,false,中国,0.0,0.0,0.50,0.80,0.0,,,,
中国,フィリピン,neutral,true,false,false,,0.06,0.05,,,,,,,
台湾,フィリピン,neutral,true,false,false,,0.05,0.05,,,,,,,
